,precision,recall,f1-score,support
0,0.9809045226130654,0.9959183673469387,0.9883544303797468,980.0
1,0.9877622377622378,0.9955947136563876,0.9916630100921456,1135.0
2,0.9798657718120806,0.9903100775193798,0.9850602409638555,1032.0
3,0.9823008849557522,0.9891089108910891,0.9856931425752343,1010.0
4,0.9957627118644068,0.9572301425661914,0.9761163032191069,982.0
5,0.9898074745186863,0.9798206278026906,0.9847887323943662,892.0
6,0.9823651452282157,0.988517745302714,0.9854318418314256,958.0
7,0.9842209072978304,0.9708171206225681,0.9774730656219393,1028.0
8,0.9845679012345679,0.9825462012320328,0.9835560123329907,974.0
9,0.9658203125,0.9801783944499505,0.9729463846532218,1009.0
accuracy,0.9832,0.9832,0.9832,0.9832
macro avg,0.9833377869786842,0.9830042301389943,0.9831083164064032,10000.0
weighted avg,0.9832855925603606,0.9832,0.9831807334020654,10000.0
